Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2017 [YR2017]
Credit card ownership (% age 15+),fin7.t.a,Afghanistan,AFG,1.38592827320099,1.06365597248077
Credit card ownership (% age 15+),fin7.t.a,Albania,ALB,5.66190624237061,8.01660346984863
Credit card ownership (% age 15+),fin7.t.a,Algeria,DZA,6.0748176574707,3.23560690879822
Credit card ownership (% age 15+),fin7.t.a,American Samoa,ASM,..,..
Credit card ownership (% age 15+),fin7.t.a,Andorra,AND,..,..
Credit card ownership (% age 15+),fin7.t.a,Angola,AGO,4.41287040710449,..
Credit card ownership (% age 15+),fin7.t.a,Antigua and Barbuda,ATG,..,..
Credit card ownership (% age 15+),fin7.t.a,Argentina,ARG,26.5757026672363,23.9685707092285
Credit card ownership (% age 15+),fin7.t.a,Armenia,ARM,5.49587440490723,8.10408401489258
Credit card ownership (% age 15+),fin7.t.a,Aruba,ABW,..,..
Credit card ownership (% age 15+),fin7.t.a,Australia,AUS,58.555965423584,59.6860427856445
Credit card ownership (% age 15+),fin7.t.a,Austria,AUT,40.1690292358398,46.5505638122559
Credit card ownership (% age 15+),fin7.t.a,Azerbaijan,AZE,8.7769021987915,5.29941129684448
Credit card ownership (% age 15+),fin7.t.a,"Bahamas, The",BHS,..,..
Credit card ownership (% age 15+),fin7.t.a,Bahrain,BHR,27.5588455200195,29.849401473999
Credit card ownership (% age 15+),fin7.t.a,Bangladesh,BGD,0.344063520431519,0.199957847595215
Credit card ownership (% age 15+),fin7.t.a,Barbados,BRB,..,..
Credit card ownership (% age 15+),fin7.t.a,Belarus,BLR,13.4751558303833,18.7152061462402
Credit card ownership (% age 15+),fin7.t.a,Belgium,BEL,43.0299491882324,48.4239501953125
Credit card ownership (% age 15+),fin7.t.a,Belize,BLZ,10.717155456543,..
Credit card ownership (% age 15+),fin7.t.a,Benin,BEN,1.39530503749847,6.13564014434814
Credit card ownership (% age 15+),fin7.t.a,Bermuda,BMU,..,..
Credit card ownership (% age 15+),fin7.t.a,Bhutan,BTN,0.272551447153091,..
Credit card ownership (% age 15+),fin7.t.a,Bolivia,BOL,6.20997667312622,7.16417598724365
Credit card ownership (% age 15+),fin7.t.a,Bosnia and Herzegovina,BIH,9.50312995910645,9.72452735900879
Credit card ownership (% age 15+),fin7.t.a,Botswana,BWA,9.85576248168945,7.24912071228027
Credit card ownership (% age 15+),fin7.t.a,Brazil,BRA,32.0498847961426,27.0289115905762
Credit card ownership (% age 15+),fin7.t.a,British Virgin Islands,VGB,..,..
Credit card ownership (% age 15+),fin7.t.a,Brunei Darussalam,BRN,..,..
Credit card ownership (% age 15+),fin7.t.a,Bulgaria,BGR,12.1976442337036,13.5532484054565
Credit card ownership (% age 15+),fin7.t.a,Burkina Faso,BFA,2.84218645095825,4.81679582595825
Credit card ownership (% age 15+),fin7.t.a,Burundi,BDI,0.288242995738983,..
Credit card ownership (% age 15+),fin7.t.a,Cabo Verde,CPV,..,..
Credit card ownership (% age 15+),fin7.t.a,Cambodia,KHM,2.88619112968445,0.554112493991852
Credit card ownership (% age 15+),fin7.t.a,Cameroon,CMR,0.505373239517212,3.04646301269531
Credit card ownership (% age 15+),fin7.t.a,Canada,CAN,77.0743942260742,82.5848159790039
Credit card ownership (% age 15+),fin7.t.a,Cayman Islands,CYM,..,..
Credit card ownership (% age 15+),fin7.t.a,Central African Republic,CAF,..,2.9245936870575
Credit card ownership (% age 15+),fin7.t.a,Chad,TCD,1.23352193832397,2.98555397987366
Credit card ownership (% age 15+),fin7.t.a,Channel Islands,CHI,..,..
Credit card ownership (% age 15+),fin7.t.a,Chile,CHL,28.0898151397705,29.8468112945557
Credit card ownership (% age 15+),fin7.t.a,China,CHN,16.3240814208984,20.8156452178955
Credit card ownership (% age 15+),fin7.t.a,Colombia,COL,13.715558052063,13.9101505279541
Credit card ownership (% age 15+),fin7.t.a,Comoros,COM,..,..
Credit card ownership (% age 15+),fin7.t.a,"Congo, Dem. Rep.",COD,1.96872448921204,1.44991302490234
Credit card ownership (% age 15+),fin7.t.a,"Congo, Rep.",COG,1.93210077285767,3.96771097183228
Credit card ownership (% age 15+),fin7.t.a,Costa Rica,CRI,14.4897861480713,13.878438949585
Credit card ownership (% age 15+),fin7.t.a,Cote d'Ivoire,CIV,1.17970860004425,1.34625232219696
Credit card ownership (% age 15+),fin7.t.a,Croatia,HRV,37.9866409301758,35.4692611694336
Credit card ownership (% age 15+),fin7.t.a,Cuba,CUB,..,..
Credit card ownership (% age 15+),fin7.t.a,Curacao,CUW,..,..
Credit card ownership (% age 15+),fin7.t.a,Cyprus,CYP,26.3333473205566,22.9394874572754
Credit card ownership (% age 15+),fin7.t.a,Czech Republic,CZE,25.7012901306152,25.002124786377
Credit card ownership (% age 15+),fin7.t.a,Denmark,DNK,36.4816131591797,44.7171936035156
Credit card ownership (% age 15+),fin7.t.a,Djibouti,DJI,..,..
Credit card ownership (% age 15+),fin7.t.a,Dominica,DMA,..,..
Credit card ownership (% age 15+),fin7.t.a,Dominican Republic,DOM,10.8753223419189,16.4281005859375
Credit card ownership (% age 15+),fin7.t.a,Ecuador,ECU,5.654296875,8.66244029998779
Credit card ownership (% age 15+),fin7.t.a,"Egypt, Arab Rep.",EGY,1.88088381290436,3.33481764793396
Credit card ownership (% age 15+),fin7.t.a,El Salvador,SLV,7.99622392654419,5.65626525878906
Credit card ownership (% age 15+),fin7.t.a,Equatorial Guinea,GNQ,..,..
Credit card ownership (% age 15+),fin7.t.a,Eritrea,ERI,..,..
Credit card ownership (% age 15+),fin7.t.a,Estonia,EST,31.338134765625,29.3523063659668
Credit card ownership (% age 15+),fin7.t.a,Eswatini,SWZ,..,..
Credit card ownership (% age 15+),fin7.t.a,Ethiopia,ETH,0.375522524118423,0.290900617837906
Credit card ownership (% age 15+),fin7.t.a,Faroe Islands,FRO,..,..
Credit card ownership (% age 15+),fin7.t.a,Fiji,FJI,..,..
Credit card ownership (% age 15+),fin7.t.a,Finland,FIN,63.0676727294922,62.7845306396484
Credit card ownership (% age 15+),fin7.t.a,France,FRA,44.1442947387695,40.9307746887207
Credit card ownership (% age 15+),fin7.t.a,French Polynesia,PYF,..,..
Credit card ownership (% age 15+),fin7.t.a,Gabon,GAB,5.6767725944519,5.89443349838257
Credit card ownership (% age 15+),fin7.t.a,"Gambia, The",GMB,..,..
Credit card ownership (% age 15+),fin7.t.a,Georgia,GEO,17.7520732879639,14.5872268676758
Credit card ownership (% age 15+),fin7.t.a,Germany,DEU,45.8121109008789,52.5355033874512
Credit card ownership (% age 15+),fin7.t.a,Ghana,GHA,0.918719351291656,5.75478982925415
Credit card ownership (% age 15+),fin7.t.a,Gibraltar,GIB,..,..
Credit card ownership (% age 15+),fin7.t.a,Greece,GRC,11.5722942352295,11.969672203064
Credit card ownership (% age 15+),fin7.t.a,Greenland,GRL,..,..
Credit card ownership (% age 15+),fin7.t.a,Grenada,GRD,..,..
Credit card ownership (% age 15+),fin7.t.a,Guam,GUM,..,..
Credit card ownership (% age 15+),fin7.t.a,Guatemala,GTM,6.30353927612305,6.58693313598633
Credit card ownership (% age 15+),fin7.t.a,Guinea,GIN,1.98643529415131,2.76933097839355
Credit card ownership (% age 15+),fin7.t.a,Guinea-Bissau,GNB,..,..
Credit card ownership (% age 15+),fin7.t.a,Guyana,GUY,..,..
Credit card ownership (% age 15+),fin7.t.a,Haiti,HTI,3.77524828910828,6.88728189468384
Credit card ownership (% age 15+),fin7.t.a,Honduras,HND,6.07861661911011,4.51991653442383
Credit card ownership (% age 15+),fin7.t.a,"Hong Kong SAR, China",HKG,64.2603149414063,65.4208908081055
Credit card ownership (% age 15+),fin7.t.a,Hungary,HUN,11.8264312744141,13.131664276123
Credit card ownership (% age 15+),fin7.t.a,Iceland,ISL,..,..
Credit card ownership (% age 15+),fin7.t.a,India,IND,4.17535209655762,3.00351357460022
Credit card ownership (% age 15+),fin7.t.a,Indonesia,IDN,1.5953596830368,2.43947267532349
Credit card ownership (% age 15+),fin7.t.a,"Iran, Islamic Rep.",IRN,11.0154027938843,9.12481212615967
Credit card ownership (% age 15+),fin7.t.a,Iraq,IRQ,2.35790753364563,1.80183482170105
Credit card ownership (% age 15+),fin7.t.a,Ireland,IRL,45.9798889160156,50.8610000610352
Credit card ownership (% age 15+),fin7.t.a,Isle of Man,IMN,..,..
Credit card ownership (% age 15+),fin7.t.a,Israel,ISR,76.1645355224609,75.015869140625
Credit card ownership (% age 15+),fin7.t.a,Italy,ITA,36.2208290100098,42.476676940918
Credit card ownership (% age 15+),fin7.t.a,Jamaica,JAM,13.7809219360352,..
